feature,coefficient,absolute_coefficient,nonzero_train_count,nonzero_train_pct
categorical__diag_3_family_Pregnancy & childbirth,-1.1421045138178207,1.1421045138178207,203,0.2838366890380313
categorical__age_[0-10),-1.040058924364181,1.040058924364181,107,0.14960850111856822
categorical__medical_specialty_Pediatrics-Endocrinology,-0.9451496621199998,0.9451496621199998,103,0.14401565995525728
categorical__rosiglitazone_Other,-0.7699902345729077,0.7699902345729077,63,0.08808724832214765
categorical__diag_2_family_Pregnancy & childbirth,-0.7328396464981611,0.7328396464981611,285,0.39848993288590606
categorical__medical_specialty_Hematology/Oncology,0.5939508675770189,0.5939508675770189,150,0.20973154362416108
categorical__payer_code_WC,-0.5841822952035758,0.5841822952035758,103,0.14401565995525728
categorical__diag_1_family_Pregnancy & childbirth,0.5555409020815236,0.5555409020815236,464,0.6487695749440716
categorical__acarbose_Steady,-0.5211629503358687,0.5211629503358687,212,0.296420581655481
categorical__glyburide-metformin_Other,-0.5159569881327561,0.5159569881327561,10,0.013982102908277404
categorical__medical_specialty_ObstetricsandGynecology,-0.5083321805046235,0.5083321805046235,461,0.6445749440715883
categorical__medical_specialty_Pediatrics,-0.48807925733274227,0.48807925733274227,186,0.2600671140939597
categorical__acarbose_Other,0.4676818028312125,0.4676818028312125,10,0.013982102908277404
categorical__chlorpropamide_Other,-0.44837010598717086,0.44837010598717086,65,0.09088366890380313
categorical__medical_specialty_Orthopedics,0.43590781955192653,0.43590781955192653,933,1.304530201342282
categorical__tolbutamide_Other,-0.3799784555408651,0.3799784555408651,16,0.02237136465324385
categorical__diag_2_family_External causes,0.35236666373673625,0.35236666373673625,524,0.732662192393736
categorical__miglitol_Other,-0.3461979589327261,0.3461979589327261,25,0.03495525727069351
categorical__diag_2_family_Other / Unclassified,0.3458981232471007,0.3458981232471007,248,0.3467561521252796
categorical__admission_type_description_Other,-0.3391661298168368,0.3391661298168368,23,0.03215883668903803
categorical__admission_source_description_Clinic Referral,-0.33287569273613316,0.33287569273613316,743,1.0388702460850112
categorical__medical_specialty_Surgery-Vascular,0.3324250319297242,0.3324250319297242,385,0.5383109619686801
categorical__medical_specialty_Surgery-Cardiovascular/Thoracic,-0.32941685736535964,0.32941685736535964,483,0.6753355704697986
categorical__admission_source_description_Other,0.30994586745592856,0.30994586745592856,116,0.1621923937360179
categorical__nateglinide_Other,-0.30768647068499666,0.30768647068499666,29,0.040548098434004476
categorical__metformin-pioglitazone_No,-0.30665173078525815,0.30665173078525815,71520,100.0
categorical__acetohexamide_No,-0.30665173078525815,0.30665173078525815,71520,100.0
categorical__payer_code_PO,-0.30324373075649796,0.30324373075649796,401,0.560682326621924
categorical__pioglitazone_Other,0.29273451122775174,0.29273451122775174,84,0.1174496644295302
categorical__admission_source_description_Unknown,-0.29131488283488555,0.29131488283488555,4828,6.750559284116331
categorical__glyburide_Down,-0.283236994258858,0.283236994258858,372,0.5201342281879194
categorical__metformin_Up,-0.2728351073425347,0.2728351073425347,709,0.991331096196868
categorical__payer_code_Unknown,0.265620634411969,0.265620634411969,28278,39.538590604026844
categorical__race_Asian,-0.26460084800238226,0.26460084800238226,446,0.6236017897091722
categorical__medical_specialty_PhysicalMedicineandRehabilitation,0.2606330489223899,0.2606330489223899,260,0.3635346756152125
categorical__troglitazone_Other,-0.2572225554940579,0.2572225554940579,3,0.0041946308724832215
categorical__diabetesMed_No,-0.25537231413518485,0.25537231413518485,16407,22.940436241610737
categorical__medical_specialty_Neurology,-0.2533498014724342,0.2533498014724342,143,0.1999440715883669
categorical__acarbose_No,-0.25317058327874004,0.25317058327874004,71298,99.68959731543625
categorical__rosiglitazone_No,0.2519340187493781,0.2519340187493781,67119,93.8464765100671
categorical__medical_specialty_Orthopedics-Reconstructive,-0.25100701473030607,0.25100701473030607,848,1.185682326621924
categorical__glipizide-metformin_Other,-0.2507914040383749,0.2507914040383749,12,0.016778523489932886
categorical__medical_specialty_Family/GeneralPractice,0.24187198709596677,0.24187198709596677,5226,7.307046979865772
categorical__pioglitazone_Up,-0.23901894570748733,0.23901894570748733,167,0.2335011185682327
categorical__medical_specialty_Nephrology,0.22995323201228865,0.22995323201228865,1098,1.535234899328859
categorical__medical_specialty_Oncology,0.22303578624097747,0.22303578624097747,241,0.33696868008948544
categorical__age_[20-30),0.22166812763045515,0.22166812763045515,1223,1.7100111856823266
categorical__glimepiride_Steady,-0.2214760712540762,0.2214760712540762,3243,4.534395973154362
categorical__admission_source_description_Transfer from a hospital,-0.22072409627443507,0.22072409627443507,2240,3.131991051454139
categorical__rosiglitazone_Steady,0.21899741318549637,0.21899741318549637,4209,5.88506711409396
categorical__diag_2_family_Other,-0.21888994613532428,0.21888994613532428,85,0.11884787472035793
categorical__diag_1_family_Infectious & parasitic,-0.21168767888235912,0.21168767888235912,1926,2.692953020134228
categorical__tolazamide_No,-0.20896279133388218,0.20896279133388218,71492,99.96085011185683
categorical__metformin-rosiglitazone_Other,-0.20564245552305124,0.20564245552305124,2,0.002796420581655481
categorical__diag_2_family_Neoplasms,0.2041392172264252,0.2041392172264252,1741,2.434284116331096
categorical__age_[80-90),0.20130916278554153,0.20130916278554153,12191,17.045581655480984
categorical__age_[10-20),-0.19883434190231233,0.19883434190231233,486,0.6795302013422819
categorical__admission_source_description_HMO Referral,0.19798030257911242,0.19798030257911242,128,0.1789709172259508
categorical__pioglitazone_Steady,-0.19745632646055047,0.19745632646055047,4916,6.873601789709172
categorical__age_[90-100),0.18978936190879067,0.18978936190879067,1998,2.7936241610738257
categorical__diag_1_family_Respiratory,-0.18933347289160432,0.18933347289160432,7295,10.199944071588368
categorical__max_glu_serum_Not recorded,-0.18853049333694108,0.18853049333694108,67702,94.66163310961969
categorical__diag_3_family_Genitourinary,0.1871904102204336,0.1871904102204336,4497,6.287751677852349
categorical__medical_specialty_Surgery-Neuro,-0.18698526261812362,0.18698526261812362,320,0.44742729306487694
categorical__change_Ch,-0.1844620906628036,0.1844620906628036,33001,46.14233780760627
categorical__medical_specialty_Unknown,0.18366250859003702,0.18366250859003702,34945,48.86045861297539
categorical__diag_1_family_Symptoms & ill-defined conditions,-0.1829619047018839,0.1829619047018839,5299,7.409116331096197
categorical__payer_code_OG,0.1818910754804908,0.1818910754804908,714,0.9983221476510068
categorical__age_[70-80),0.1795808923934111,0.1795808923934111,18370,25.68512304250559
categorical__diag_1_family_Neoplasms,-0.17330059935752085,0.17330059935752085,2399,3.35430648769575
categorical__glimepiride-pioglitazone_No,-0.1683975286916831,0.1683975286916831,71519,99.99860178970917
categorical__repaglinide_No,-0.16524216529123945,0.16524216529123945,70449,98.50251677852349
categorical__medical_specialty_Cardiology,-0.16423989571188458,0.16423989571188458,3773,5.275447427293065
categorical__pioglitazone_No,-0.16291096983443998,0.16291096983443998,66353,92.77544742729307
categorical__diag_2_family_Blood disorders,-0.1612468027604852,0.1612468027604852,2041,2.8537472035794185
categorical__insulin_No,-0.1586401694191339,0.1586401694191339,33227,46.458333333333336
categorical__diag_3_family_Symptoms & ill-defined conditions,0.15600198174281596,0.15600198174281596,3145,4.397371364653243
categorical__glipizide_Steady,-0.15305158252745354,0.15305158252745354,8017,11.209451901565995
categorical__metformin_Down,0.151504345981464,0.151504345981464,392,0.5480984340044742
categorical__diag_2_family_Nervous system & sense organs,0.15007732334869991,0.15007732334869991,886,1.2388143176733781
categorical__glipizide_No,-0.14760939471085416,0.14760939471085416,62566,87.48042505592841
numeric__log1p_number_inpatient,0.14660878932146082,0.14660878932146082,71520,100.0
categorical__age_[60-70),0.14648555980835185,0.14648555980835185,15699,21.950503355704697
categorical__insulin_Steady,-0.1423216980448222,0.1423216980448222,21723,30.373322147651006
categorical__chlorpropamide_No,0.1417183752018084,0.1417183752018084,71455,99.90911633109619
categorical__gender_Female,-0.140738687324755,0.140738687324755,38339,53.60598434004474
categorical__medical_specialty_Urology,0.14062029987764504,0.14062029987764504,446,0.6236017897091722
categorical__glyburide-metformin_Steady,0.13992051003950465,0.13992051003950465,496,0.6935123042505592
categorical__payer_code_MD,0.13922904716749543,0.13922904716749543,2430,3.3976510067114094
categorical__glimepiride-pioglitazone_Other,-0.13825420209353717,0.13825420209353717,1,0.0013982102908277406
categorical__diag_1_family_Skin & subcutaneous tissue,-0.1379506179240172,0.1379506179240172,1830,2.5587248322147653
categorical__diag_3_family_Neoplasms,0.13421949024420043,0.13421949024420043,1304,1.8232662192393736
categorical__diag_3_family_Other / Unclassified,-0.1319416550076682,0.1319416550076682,1003,1.4024049217002237
categorical__metformin_Steady,-0.13057080716564168,0.13057080716564168,12834,17.944630872483224
categorical__diag_1_family_Genitourinary,-0.1290492437349092,0.1290492437349092,3546,4.958053691275168
categorical__diag_3_family_Digestive,0.1274808443450106,0.1274808443450106,2521,3.524888143176734
categorical__A1Cresult_Norm,-0.12499173189151949,0.12499173189151949,3454,4.829418344519016
categorical__diag_2_family_Respiratory,-0.12266454998567662,0.12266454998567662,7208,10.078299776286354
categorical__change_No,-0.12218964013338561,0.12218964013338561,38519,53.85766219239374
categorical__diag_2_family_Supplementary factors,-0.12174259507917569,0.12174259507917569,1272,1.778523489932886
numeric__number_inpatient,0.12154718102146793,0.12154718102146793,71520,100.0
categorical__gender_Male,-0.11586457965392281,0.11586457965392281,33180,46.39261744966443
categorical__glimepiride_No,-0.1158308584520796,0.1158308584520796,67922,94.9692393736018
categorical__diag_3_family_Respiratory,0.11538367474507957,0.11538367474507957,4808,6.722595078299776
numeric__log1p_prior_utilization_total,0.1142272906852446,0.1142272906852446,71520,100.0
categorical__payer_code_Other,-0.11347841690334558,0.11347841690334558,252,0.3523489932885906
categorical__diag_1_family_Mental disorders,0.10860818654027891,0.10860818654027891,1606,2.245525727069351
numeric__number_outpatient,-0.10606478988186191,0.10606478988186191,71520,100.0
categorical__metformin-rosiglitazone_No,-0.10100927526160672,0.10100927526160672,71518,99.99720357941835
categorical__medical_specialty_InternalMedicine,0.09809571849924213,0.09809571849924213,10530,14.723154362416107
categorical__race_Other,-0.0977772351039975,0.0977772351039975,1063,1.486297539149888
categorical__tolazamide_Other,-0.09768893945167535,0.09768893945167535,28,0.039149888143176735
categorical__A1Cresult_>8,-0.09734429803554653,0.09734429803554653,5808,8.120805369127517
categorical__payer_code_UN,0.0940136294267971,0.0940136294267971,1743,2.4370805369127515
categorical__age_[50-60),-0.09125951082799763,0.09125951082799763,11980,16.75055928411633
categorical__admission_source_description_Not Mapped,0.09102594696236944,0.09102594696236944,107,0.14960850111856822
categorical__diag_1_family_Nervous system & sense organs,-0.08822143699980424,0.08822143699980424,855,1.195469798657718
categorical__repaglinide_Other,-0.08687814532065911,0.08687814532065911,111,0.1552013422818792
categorical__diag_3_family_Nervous system & sense organs,0.0827915820172576,0.0827915820172576,1234,1.7253914988814318
"categorical__diag_1_family_Endocrine, nutritional & metabolic",0.08112346648207529,0.08112346648207529,8156,11.403803131991051
categorical__diag_2_family_Musculoskeletal & connective tissue,-0.07989258666637579,0.07989258666637579,1227,1.7156040268456376
categorical__diag_3_family_Supplementary factors,-0.07959221514221748,0.07959221514221748,2676,3.7416107382550337
categorical__payer_code_DM,-0.07931944996885279,0.07931944996885279,357,0.4991610738255034
categorical__payer_code_MC,0.07924241387856895,0.07924241387856895,22962,32.105704697986575
categorical__diag_1_family_Supplementary factors,0.07806047483582962,0.07806047483582962,1132,1.5827740492170024
"categorical__diag_3_family_Endocrine, nutritional & metabolic",0.07526186836118112,0.07526186836118112,18516,25.88926174496644
categorical__tolbutamide_No,0.073326724757079,0.073326724757079,71504,99.97762863534676
categorical__diag_2_family_Skin & subcutaneous tissue,0.07296107206426819,0.07296107206426819,2579,3.6059843400447424
categorical__medical_specialty_Emergency/Trauma,0.07283182056660494,0.07283182056660494,5394,7.541946308724833
categorical__diag_3_family_Musculoskeletal & connective tissue,0.07242147328839861,0.07242147328839861,1319,1.8442393736017897
