subgroup_column,subgroup_value,encounters,positives,negatives,prevalence,roc_auc,average_precision,brier_score,sensitivity,specificity,false_positive_rate,precision,npv,balanced_accuracy,f1,predicted_positive_rate,tn,fp,fn,tp,sufficient_sample
race_audit_group,Caucasian,64731,7325,57406,0.1131606185598863,0.6405665674076,0.19837034056040412,0.09717042887890764,0.70580204778157,0.4796362749538376,0.5203637250461625,0.14753724102505564,0.9274141938091549,0.5927191613677038,0.24405787523308234,0.541348040351609,27534,29872,2155,5170,True
race_audit_group,AfricanAmerican,16282,1816,14466,0.11153420955656554,0.6508885943098537,0.2011271682056723,0.09568394694115818,0.7087004405286343,0.5053228259366791,0.4946771740633209,0.15243396896837616,0.9325169026661564,0.6070116332326567,0.25090164733404813,0.5185480899152438,7310,7156,529,1287,True
race_audit_group,Unknown,1954,169,1785,0.086489252814739,0.5895082293272339,0.13764108554142274,0.07821457245494891,0.4970414201183432,0.6369747899159663,0.3630252100840336,0.11475409836065574,0.9304418985270049,0.5670081050171547,0.1864594894561598,0.37461617195496416,1137,648,85,84,True
race_audit_group,Hispanic,1720,189,1531,0.10988372093023256,0.7016508904164032,0.24970922189118308,0.09182008899965229,0.7195767195767195,0.5460483344219464,0.45395166557805355,0.16365824308062576,0.9403824521934758,0.632812526999333,0.26666666666666666,0.4831395348837209,836,695,53,136,True
race_audit_group,Other,1294,122,1172,0.09428129829984544,0.6428831197896268,0.18023085273722156,0.08321551919902888,0.5901639344262295,0.5998293515358362,0.40017064846416384,0.133086876155268,0.9335989375830013,0.5949966429810328,0.2171945701357466,0.4180834621329212,703,469,50,72,True
race_audit_group,Asian,566,56,510,0.0989399293286219,0.7035364145658263,0.2567307945915995,0.08360427298649957,0.6428571428571429,0.6,0.4,0.15,0.9386503067484663,0.6214285714285714,0.24324324324324326,0.42402826855123676,306,204,20,36,True
