fold,encounters,prevalence,threshold,sensitivity,specificity,precision,npv,balanced_accuracy,f1,predicted_positive_rate,tn,fp,fn,tp
1,17310,0.11184286539572501,0.095,0.7024793388429752,0.4970729803564459,0.14958205015398152,0.9299099537600389,0.5997761595997105,0.2466449038810301,0.5252455228191797,7642,7732,576,1360
2,17310,0.11178509532062392,0.095,0.7054263565891473,0.4949593495934959,0.14950711938663747,0.9303178484107579,0.6001928530913216,0.24672390420244011,0.5274407856730213,7610,7765,570,1365
3,17308,0.11179801247977814,0.095,0.6888888888888889,0.4919664346581669,0.1457945969594225,0.9262706674831598,0.5904276617735279,0.24065715833182885,0.5282528310607811,7563,7810,602,1333
4,17309,0.11184932693974232,0.095,0.702995867768595,0.48233916607038313,0.14604571305934114,0.928035043804756,0.592667516919489,0.2418480675255442,0.5383904327228609,7415,7958,575,1361
5,17310,0.11178509532062392,0.095,0.7059431524547803,0.4940487804878049,0.1493712411153636,0.9303123086344152,0.5999959664712926,0.24657039711191336,0.5283073367995378,7596,7779,569,1366
