subgroup_column,subgroup_value,encounters,positives,negatives,prevalence,roc_auc,average_precision,brier_score,sensitivity,specificity,false_positive_rate,precision,npv,balanced_accuracy,f1,predicted_positive_rate,tn,fp,fn,tp,sufficient_sample
gender,Female,46440,5204,41236,0.11205857019810508,0.645209197406593,0.19862997996957488,0.0962318997284149,0.7104150653343582,0.48399456785333206,0.5160054321466679,0.14802802802802803,0.9297926857675285,0.5972048165938451,0.24500480466549587,0.5377906976744186,19958,21278,1507,3697,True
gender,Male,40106,4473,35633,0.11152944696554132,0.6423681896239973,0.19844300012697738,0.09586138718230243,0.6903644086742678,0.5014172256054781,0.4985827743945219,0.1480771075093507,0.9280594223976729,0.5958908171398729,0.24385043629328385,0.5199720740038897,17867,17766,1385,3088,True
gender,Unknown/Invalid,1,0,1,0.0,,,,,1.0,0.0,,1.0,,0.0,0.0,1,0,0,0,False
