subgroup_column,subgroup_value,encounters,positives,negatives,prevalence,roc_auc,average_precision,brier_score,sensitivity,specificity,false_positive_rate,precision,npv,balanced_accuracy,f1,predicted_positive_rate,tn,fp,fn,tp,sufficient_sample
age_audit_group,[0-10),135,3,132,0.022222222222222223,,,,0.3333333333333333,0.9621212121212122,0.03787878787878788,0.16666666666666666,0.9844961240310077,0.6477272727272727,0.2222222222222222,0.044444444444444446,127,5,2,1,False
age_audit_group,[10-20),588,37,551,0.06292517006802721,0.6665522146465885,0.1520525858243561,0.05753260318661333,0.4594594594594595,0.8039927404718693,0.19600725952813067,0.136,0.9568034557235421,0.6317260999656644,0.20987654320987653,0.21258503401360543,443,108,20,17,True
age_audit_group,[20-30),1431,216,1215,0.1509433962264151,0.8048163389727176,0.4137138434755366,0.10604133357760624,0.8472222222222222,0.6115226337448559,0.388477366255144,0.27938931297709924,0.9574742268041238,0.7293724279835391,0.42020665901262916,0.45772187281621246,743,472,33,183,True
age_audit_group,[30-40),3224,370,2854,0.11476426799007444,0.7349220629178582,0.27046846961343324,0.09325799374534492,0.7297297297297297,0.6012613875262789,0.3987386124737211,0.19176136363636365,0.9449339207048458,0.6654955586280042,0.30371203599550056,0.43672456575682383,1716,1138,100,270,True
age_audit_group,[40-50),8294,886,7408,0.10682421027248613,0.6778615272854921,0.23129946267453574,0.0903406661945233,0.6794582392776524,0.5811285097192225,0.4188714902807775,0.16248313090418354,0.9381128786227937,0.6302933744984374,0.26225223262905684,0.44670846394984326,4305,3103,284,602,True
age_audit_group,[50-60),14555,1361,13194,0.09350738577808314,0.6715311114296494,0.19384984795136856,0.08121817550960855,0.582659808963997,0.6721236925875398,0.3278763074124602,0.15491306895878101,0.9398050021195422,0.6273917507757685,0.24475308641975307,0.3517004465819306,8868,4326,568,793,True
age_audit_group,[60-70),19095,2128,16967,0.11144278606965174,0.6365852377746984,0.19051673033624364,0.09621493964773357,0.6903195488721805,0.4951965580244003,0.5048034419755997,0.14640223240980665,0.9272707206710076,0.5927580534482904,0.24157210985035357,0.52547787378895,8402,8565,659,1469,True
age_audit_group,[70-80),22197,2617,19580,0.11789881515520115,0.6089358180171058,0.1793928716432147,0.10208179049448779,0.722965227359572,0.4097037793667007,0.5902962206332993,0.14066914498141264,0.9171144392363096,0.5663345033631364,0.2355137860210369,0.6059377393341443,8022,11558,725,1892,True
age_audit_group,[80-90),14610,1776,12834,0.1215605749486653,0.5889411939990482,0.16982826125490819,0.10552720795681486,0.7668918918918919,0.3367617266635499,0.66323827333645,0.13793801903990277,0.9125844594594594,0.5518268092777209,0.2338197424892704,0.6758384668035592,4322,8512,414,1362,True
age_audit_group,[90-100),2418,283,2135,0.11703887510339123,0.582025968007547,0.1592688450473398,0.1026255150045664,0.6925795053003534,0.41124121779859485,0.5887587822014052,0.1348933241569167,0.9098445595854923,0.5519103615494741,0.22580645161290322,0.6009098428453267,878,1257,87,196,True
