model,roc_auc,average_precision,brier_score,balanced_accuracy,precision,recall_sensitivity,specificity,f1,mean_absolute_calibration_gap
Random forest baseline,0.6287909210827239,0.17990735132537147,0.22424365520655332,0.5837897884129508,0.16429353778751368,0.4528985507246377,0.7146810261012639,0.24111879119112684,
Class-weighted logistic regression,0.6206502861300884,0.17710135608430988,0.22934859909410774,0.5814691702462282,0.15505324117317393,0.501207729468599,0.6617306110238576,0.23683835069196746,
Standard logistic regression,0.6198280618123366,0.1782074338214397,0.09595307969966509,0.5018115942028986,1.0,0.0036231884057971015,1.0,0.007220216606498195,
Decision tree baseline,0.6147135700342186,0.16847624123865496,0.23102678593160594,0.5792261182810734,0.1481782693558881,0.5501207729468599,0.6083314636152868,0.23347001537672987,
