fold,train_encounters,eval_encounters,train_patients,eval_patients,transformed_features,eval_prevalence,roc_auc,average_precision,brier_score,fit_evaluation_seconds
1,69237,17310,48615,12175,213,0.11184286539572501,0.645750996906874,0.20291844184081717,0.09594071523474042,19.455922899998768
2,69237,17310,48641,12149,215,0.11178509532062392,0.6495442028528813,0.19975142327162101,0.09595141550706228,20.97845000000052
3,69239,17308,48648,12142,214,0.11179801247977814,0.6396045888030476,0.19782534170292565,0.09615202987385488,20.0185005000003
4,69238,17309,48630,12160,212,0.11184932693974232,0.642761465174802,0.20297251621434537,0.09602034997646135,19.23036990000037
5,69237,17310,48626,12164,212,0.11178509532062392,0.6421501733156866,0.19447589016241681,0.09623104736724018,19.23182689999885
