threshold,sensitivity,specificity,precision,npv,balanced_accuracy,f1,predicted_positive_rate,tn,fp,fn,tp
0.01,1.0,2.601795238714713e-05,0.11181466289213704,1.0,0.5000130089761936,0.2011390326536551,0.9999768911689603,2,76868,0,9677
0.015,1.0,0.00028619747625861845,0.11184050852354811,1.0,0.5001430987381293,0.2011808486310056,0.9997458028585624,22,76848,0,9677
0.019999999999999997,0.9998966621886949,0.0011317809288409002,0.11191431776911599,0.9886363636363636,0.5005142215587679,0.20129816093867023,0.9989832114342496,87,76783,1,9676
0.024999999999999998,0.9994833109434742,0.0030961363340705084,0.11206896551724138,0.9794238683127572,0.5012897236387723,0.2015398881028537,0.9971922770286665,238,76632,5,9672
0.03,0.9981399193965071,0.007779367763756992,0.11240413820390778,0.9707792207792207,0.5029596435801321,0.2020542214040666,0.9928824800397472,598,76272,18,9659
0.034999999999999996,0.9952464606799628,0.0176661896708729,0.11311558202083553,0.9672364672364673,0.5064563251754178,0.20314279687829573,0.9837776006100731,1358,75512,46,9631
0.039999999999999994,0.9899762323033998,0.034356706127227785,0.11430753260389695,0.964572680788897,0.5121664692153138,0.2049504738677449,0.9683640103065386,2641,74229,97,9580
0.045,0.9804691536633254,0.057330558085078705,0.11577650059181706,0.9588772845953003,0.5188998558742021,0.2070982669053128,0.9468959062705813,4407,72463,189,9488
0.049999999999999996,0.9691019944197582,0.08683491609210355,0.11785404597036683,0.9571264697447662,0.5279684552559308,0.2101512605042017,0.9194195061642807,6675,70195,299,9378
0.05499999999999999,0.952464606799628,0.12189410693378432,0.12014286272925166,0.953204476093591,0.5371793568667061,0.21337129893279627,0.8864200954394722,9370,67500,460,9217
0.05999999999999999,0.9308670042368503,0.16167555613373227,0.12264125255275697,0.9489195999083759,0.5462712801852913,0.21672862006327667,0.8486718199359885,12428,64442,669,9008
0.06499999999999999,0.9074093210705797,0.20470924938207363,0.12559536580133018,0.9461279461279462,0.5560592852263266,0.22065031661473514,0.8078269610731741,15736,61134,896,8781
0.06999999999999999,0.8813681926216803,0.2502666840119683,0.12891280361542298,0.9436868439124889,0.5658174383168243,0.22492681769033993,0.7644516852115035,19238,57632,1148,8529
0.07499999999999998,0.85150356515449,0.29790555483283465,0.13245458929432566,0.9409541028064264,0.5747045599936623,0.22924868195918593,0.7188001894924145,22900,53970,1437,8240
0.07999999999999999,0.8188488167820606,0.3476258618446728,0.1364513018322083,0.9384372256365233,0.5832373393133667,0.23392227191545262,0.6709880180711059,26722,50148,1753,7924
0.08499999999999998,0.7812338534669836,0.3967087290230259,0.14016872160934457,0.9350852446952043,0.5889712912450047,0.23769100169779286,0.6231874010653171,30495,46375,2117,7560
0.08999999999999998,0.7423788364162447,0.44558345258228177,0.14425123489016506,0.9321540345625255,0.5939811444992632,0.2415642495670741,0.5754330017216079,34252,42618,2493,7184
0.09499999999999999,0.7011470497054872,0.4920775334981137,0.14805036112505182,0.9289749005353898,0.5966122916018004,0.24447807444240263,0.5295273088610812,37826,39044,2892,6785
0.09999999999999998,0.6606386276738658,0.5358787563418759,0.15196101735203232,0.9261640848078783,0.5982586920078709,0.2470867876398632,0.4860942609218113,41193,35677,3284,6393
0.10499999999999998,0.6210602459439909,0.5776115519708599,0.1561890901530705,0.9237122409919281,0.5993358989574253,0.24960544895755463,0.44460235478988297,44401,32469,3667,6010
0.10999999999999997,0.5800351348558438,0.6179914140757122,0.16047229687231973,0.9211929647656538,0.599013274465778,0.2513940208263352,0.4041503460547448,47505,29365,4064,5613
0.11499999999999998,0.5409734421824945,0.655066996227397,0.16488188976377952,0.9189371680931437,0.5980202192049457,0.252733724382649,0.3668526927565369,50355,26515,4442,5235
0.11999999999999998,0.5055285729048259,0.6895798100689475,0.17013285108158865,0.9172045057359888,0.5975541914868867,0.2545861413962686,0.3322356638589437,53008,23862,4785,4892
0.12499999999999997,0.4726671489097861,0.7221152595290751,0.1763639868903027,0.9158087507424273,0.5973912042194306,0.2568797034707402,0.2996637665083712,55509,21361,5103,4574
0.12999999999999998,0.4407357652164927,0.7517887342266164,0.1826943671021632,0.9143697984241005,0.5962622497215546,0.2583126400581431,0.26973783031185367,57790,19080,5412,4265
0.13499999999999998,0.40921773276841994,0.778066866137635,0.18839200761179828,0.9127535214491737,0.5936422994530275,0.25800566830634913,0.24287381422810728,59810,17060,5717,3960
0.13999999999999999,0.38069649684819673,0.8011057629764538,0.19417066357455331,0.9113120430934974,0.5909011299123252,0.25717277486910994,0.21922192565889054,61581,15289,5993,3684
0.145,0.35434535496538183,0.8218030441004293,0.2002101944298476,0.909997118985883,0.5880741995329055,0.2558573347261603,0.1978924746091719,63172,13698,6248,3429
0.15,0.33099100961041644,0.838896838818785,0.20549175595047153,0.9087655016910936,0.5849439242146007,0.2535623812539582,0.18009867470853988,64486,12384,6474,3203
0.155,0.3077400020667562,0.8541823858462338,0.20991048142665822,0.9074212271973466,0.580961193956495,0.24958095876634262,0.16392249298069256,65661,11209,6699,2978
0.15999999999999998,0.28676242637180943,0.8684532327305841,0.21533328160161402,0.9062992125984252,0.5776078295511967,0.24596702712285057,0.14890175280483436,66758,10112,6902,2775
0.16499999999999998,0.2666115531673039,0.8808247690906725,0.21974278170513584,0.9051279309146325,0.5737181611289882,0.2409188533009618,0.13566039261903937,67709,9161,7097,2580
0.16999999999999998,0.24842409837759635,0.8916742552361129,0.22402385611778958,0.9040703809222328,0.5700491768068546,0.235593884751078,0.12399043294394953,68543,8327,7273,2404
0.175,0.2295132789087527,0.9016261220241967,0.2270264744965757,0.9028711375123756,0.5655697004664747,0.22826310380267215,0.11303684703109293,69308,7562,7456,2221
0.18,0.21566601219386172,0.9110706387407311,0.23388994732713214,0.9022209625888901,0.5633683254672964,0.22440860215053762,0.10310004968398674,70034,6836,7590,2087
0.18499999999999997,0.2009920429885295,0.9193963835046182,0.23891413831224664,0.9013850980792286,0.5601942132465738,0.21831855427096195,0.09406449674743203,70674,6196,7732,1945
0.18999999999999997,0.18807481657538494,0.9269415896968909,0.24475524475524477,0.9006838492750692,0.5575082031361379,0.21270379243849705,0.08591863380590893,71254,5616,7857,1820
0.19499999999999998,0.17629430608659707,0.9340184727461949,0.25169666568309235,0.9000739635698078,0.555156389416396,0.20735338802795503,0.0783158283938207,71798,5072,7971,1706
0.19999999999999998,0.16358375529606284,0.9404579159620138,0.2569805194805195,0.8993120778235287,0.5520208356290384,0.1999115994190819,0.0711751996025281,72293,4577,8094,1583
0.205,0.1529399607316317,0.945973721868089,0.26273744008521216,0.8986949106458709,0.5494568412998604,0.19333768778576094,0.06508602262354558,72717,4153,8197,1480
0.20999999999999996,0.14384623333677793,0.9508650969168726,0.269297736506094,0.8981911573152449,0.5473556651268252,0.1875252593291122,0.059724773822316196,73093,3777,8285,1392
0.21499999999999997,0.13454583031931383,0.9554962924417848,0.27567224221892866,0.8976461673836528,0.5450210613805493,0.18083333333333335,0.054571504500444845,73449,3421,8375,1302
0.21999999999999997,0.12565877854707036,0.959607128918954,0.2814163388104605,0.8971006737528275,0.5426329537330122,0.17373910558651237,0.04992662946144869,73765,3105,8461,1216
0.22499999999999998,0.11687506458613206,0.9630154806816703,0.28459989934574736,0.8965036997565791,0.5399452726339011,0.1657021463629038,0.04591724727604654,74027,2843,8546,1131
0.22999999999999998,0.10860803968171955,0.9665018863015481,0.28985107556536127,0.8959732757685025,0.5375549629916339,0.15800947154777117,0.0418963106751245,74295,2575,8626,1051
0.235,0.1025111088147153,0.9691687264212306,0.2950624628197501,0.895594157600529,0.535839917617973,0.1521589078917095,0.0388459449778733,74500,2370,8685,992
0.23999999999999996,0.09631084013640591,0.9720307011838168,0.30240103828682674,0.8952255436410471,0.5341707706601114,0.14609295399325967,0.03561070863230383,74720,2150,8745,932
0.24499999999999997,0.09093727394853778,0.9742422271367244,0.3076923076923077,0.8948821202815253,0.532589750542631,0.14038446199250218,0.03304562838688805,74890,1980,8797,880
0.24999999999999997,0.0858737211945851,0.9763236633276962,0.3134666163711807,0.8945599313435683,0.5310986922611406,0.13481505515898767,0.030630755543230845,75050,1820,8846,831
0.25499999999999995,0.08246357342151493,0.9781969558995707,0.322554567502021,0.8943893996883661,0.5303302646605428,0.13134721422105178,0.02858562399621015,75194,1676,8879,798
0.25999999999999995,0.07750335847886741,0.9796409522570574,0.32397408207343414,0.8940189001804539,0.5285721553679624,0.12508338892595064,0.026748471928547495,75305,1565,8927,750
0.26499999999999996,0.073266508215356,0.9810979575907376,0.32793709528214615,0.8937251881258518,0.5271822329030468,0.11977362952952107,0.024980646354004182,75417,1453,8968,709
0.26999999999999996,0.06995969825359098,0.9824378821386757,0.3339911198815984,0.8935163274964505,0.5261987901961334,0.11568694463431306,0.02342080025881891,75520,1350,9000,677
0.27499999999999997,0.06716957734835176,0.9837517887342266,0.34228541337546076,0.8933583782251205,0.5254606830412892,0.11230131306150656,0.021941835072272868,75621,1249,9027,650
0.27999999999999997,0.0654128345561641,0.9850136594250033,0.3546218487394958,0.8933012434817489,0.5252132469905837,0.11045192811027744,0.020624631703005304,75718,1152,9044,633
0.285,0.0623127002170094,0.9859503057109406,0.3582887700534759,0.8930759803921569,0.5241315029639749,0.10616197183098591,0.019446081319976428,75790,1080,9074,603
0.29,0.06014260617960111,0.9868479250682971,0.3653483992467043,0.8929420627633778,0.5234952656239491,0.10328305235137533,0.018406183923186246,75859,1011,9095,582
0.295,0.056835796217836104,0.9876414726161051,0.36666666666666664,0.8926828694721742,0.5222386344169706,0.09841639080254093,0.01733162327983639,75920,950,9127,550
0.3,0.05404567531259688,0.9884740470924939,0.3711852377572747,0.8924804435152341,0.5212598612025454,0.09435323831860004,0.016280171467526316,75984,886,9154,523
0.30499999999999994,0.051358892218662806,0.9890854689735917,0.37200598802395207,0.8922674302613512,0.5202221805961272,0.09025696903659312,0.015436699134574277,76031,839,9180,497
0.30999999999999994,0.04949881161516999,0.9897749447118511,0.3786561264822134,0.8921460566121807,0.5196368781635106,0.08755254980807896,0.014616335632662021,76084,786,9198,479
0.31499999999999995,0.04722537976645655,0.9903993755691427,0.38242677824267785,0.8919767550848252,0.5188123776677996,0.0840691685062546,0.013807526546269657,76132,738,9220,457
0.31999999999999995,0.04474527229513279,0.9909457525692728,0.38352524357838796,0.8917792502751176,0.5178455124322028,0.08014066259485471,0.013044935121956857,76174,696,9244,433
0.32499999999999996,0.04247184044641934,0.9915962013789514,0.3888363292336802,0.8916130541583811,0.5170340209126854,0.07657909446618222,0.01221301720452471,76224,646,9266,411
0.32999999999999996,0.03988839516379043,0.9920515155457266,0.38716148445336007,0.8913968439509059,0.5159699553547585,0.0723252763724939,0.011519752273331253,76259,611,9291,386
